image_name,description
1.jpg,"['fields', 'houses', 'roads', 'trees', 'vegetation', 'buildings']"
2.jpg,"['houses', 'roads', 'fields', 'trees', 'buildings', 'pools', 'vegetation', 'open spaces', 'structures']"
3.jpg,"['houses', 'roads', 'fields', 'trees', 'farms', 'vegetation', 'houses', 'vehicles', 'structures']"
4.jpg,"['houses', 'roads', 'fields', 'trees', 'pond', 'vegetation', 'structures']"
5.jpg,"['houses', 'roads', 'trees', 'fields', 'ponds', 'vegetation', 'open land']"
6.jpg,"['houses', 'roads', 'fields', 'trees', 'pond', 'fences']"
7.jpg,"['houses', 'roads', 'fields', 'trees', 'ponds', 'landscapes']"
8.jpg,"['fields', 'road', 'trees', 'buildings', 'houses', 'agricultural structures', 'solar panels', 'pond', 'vegetation']"
9.jpg,"['fields', 'road', 'building', 'trees', 'structures']"
10.jpg,"['houses', 'roads', 'fields', 'trees', 'water', 'buildings', 'paths']"
11.jpg,"['roads', 'fields', 'houses', 'trees', 'ponds', 'buildings', 'vehicles']"
12.jpg,"['roads', 'houses', 'ponds', 'fields', 'trees', 'vegetation', 'open land', 'structures', 'buildings', 'water bodies']"
13.jpg,"['field', 'pond', 'trees', 'houses', 'roads', 'vegetation']"
14.jpg,"['houses', 'roads', 'fields', 'trees', 'vegetation', 'clearings', 'buildings', 'open land']"
15.jpg,"['fields', 'houses', 'roads', 'ponds', 'trees', 'shadows', 'vegetation', 'structures', 'open land', 'farm buildings']"
16.jpg,"['buildings', 'roads', 'fields', 'trees', 'ponds', 'vegetation', 'fence', 'open land']"
17.jpg,"['houses', 'roads', 'trees', 'pond', 'fields', 'buildings', 'cars', 'vegetation', 'open spaces']"
18.jpg,"['fields', 'roads', 'houses', 'pond', 'trees', 'buildings']"
19.jpg,"['fields', 'buildings', 'roads', 'trees', 'structures']"
20.jpg,"['roads', 'houses', 'fields', 'pond/lake', 'trees', 'vegetation', 'buildings', 'open areas']"
21.jpg,"['fields', 'houses', 'trees', 'pond', 'roads']"
22.jpg,"['field', 'farmland', 'road', 'houses', 'trees', 'buildings', 'parking lot', 'open space']"
